row,column_idx,truth_value,llm_value,mismatch_value
465,2,crispr-cas9 sgrna screen,crispr-seq,3
50,4,melanoma tumor sample/ skin?,skin,3
95,5,,no,6
223,5,oci-aml2 cells,oci-aml2,2
59,5,hoxb8 cell,hoxb8,2
82,5,myc-cap cells,myc-cap,2
501,4,kidney,renal cell carcinoma,4
79,4,abdomen,abdominal wall tissue,4
524,5,primary mouse mammary fibroblasts,primary mouse mammary fibroblasts line,2
500,4,kidney,renal cell carcinoma,4
152,4,prostate,normal prostate,6
678,4,pancreas,primary pancreatic ductal adenocarcinoma,4
390,4,prostate,prostate cancer,4
665,4,bone marrow,human bone marrow biopsy,4
235,4,lung,lung adenocarcinoma,4
374,4,prostate,prostate cancer,4
193,4,umbilical vein endothelium,blood,6
711,4,prostate,prostate cancer,4
54,4,prostate,prostate cancer,4
38,4,prostate carcinoma,prostate,3
86,5,myc-cap cells,myc-cap,2
271,2,rna-seq/ plumage,rna-seq,5
405,5,mouse lung squamous cell carcinoma cell line,lung squamous cell carcinoma cell line,2
415,4,pancrease,pancreatic ductal adenocarcinoma,4
661,4,soft tissue,synovial sarcoma,4
188,4,esophagus,esophageal squamouse carcinoma,4
247,4,soft tissue/ bone,lung,6
236,4,lung,lung adenocarcinoma,4
225,4,lung,small cell lung cancer,4
202,5,moc1,no,6
306,4,peripheral nervous system,nerve sheath,4
326,4,prostate,prostate cancer organoid,4
282,4,prostate,prostate epithelial cell line,4
134,4,brain,hippocampus,4
146,5,no,cebpa/csf3r leukemia cells,6
551,4,in vitro–differentiated cd8⁺ t cells from hpscs,blood,6
115,5,molm13 cells,molm13,2
349,4,bladder xenograft,bladder,3
280,4,prostate,prostate epithelial cell line,4
328,5,aspc1,aspc-1,2
544,4,bone marrow,primary dendritic cells,6
394,4,bladder,bladder cancer,4
315,5,lncap-c42 (ar therapy resistant),lncap-c42,3
662,4,soft tissue,synovial sarcoma,4
170,4,blood,monocyte-derived macrophages,6
49,4,melanoma tumor sample/ skin?,skin,3
725,2,qrt-pcr array,rt-pcr,3
276,4,lymph nodes,patient derived xenograft,6
476,4,peritoneal fluid,blood,6
257,4,intestine,colon,4
310,5,suz12 isogenic m3 mpnst cells,m3 mpnst cells,3
543,4,bone marrow,primary dendritic cells,6
147,5,no,cebpa/csf3r leukemia cells,6
129,4,multiple myeloma,bone marrow,6
714,4,prostate,prostate cancer,4
284,2,exome-seq,other,6
639,4,prostate,prostate cancer,4
35,4,prostate carcinoma,prostate,3
150,4,prostate,prostate cancer,6
590,5,rpm rr112,no,6
439,4,blood / bone marrow,blood,5
677,4,pancreas,primary pancreatic ductal adenocarcinoma,4
611,4,tongue,head and neck,6
276,5,no,mcl96069,6
136,4,lung,lung tumor,4
